CREATE TABLE orders (
order_id SERIAL NOT NULL PRIMARY KEY,
customer_id INT, 
order_date DATE
);









INSERT INTO orders (order_id, customer_id, order_date) VALUES
(10248, 90, '2021-07-04'),
(10249, 81, '2021-07-05'),
(10250, 34, '2021-07-08'),
(10251, 84, '2021-07-08'),
(10252, 76, '2021-07-09'),
(10253, 34, '2021-07-10'),
(10254, 14, '2021-07-11'),
(10255, 68, '2021-07-12'),
(10256, 88, '2021-07-15'),
(10257, 35, '2021-07-16'),
(10258, 20, '2021-07-17'),
(10259, 13, '2021-07-18'),
(10260, 55, '2021-07-19'),
(10261, 61, '2021-07-19'),
(10262, 65, '2021-07-22'),
(10263, 20, '2021-07-23'),
(10264, 24, '2021-07-24'),
(10266, 87, '2021-07-26'),
(10267, 25, '2021-07-29'),
(10268, 33, '2021-07-30'),
(10269, 89, '2021-07-31'),
(10270, 87, '2021-08-01'),
(10271, 75, '2021-08-01'),
(10272, 65, '2021-08-02'),
(10273, 63, '2021-08-05'),
(10274, 85, '2021-08-06'),
(10275, 49, '2021-08-07'),
(10276, 80, '2021-08-08'),
(10277, 52, '2021-08-09'),
(10278, 5, '2021-08-12'),
(10279, 44, '2021-08-13'),
(10280, 5, '2021-08-14'),
(10281, 69, '2021-08-14'),
(10282, 69, '2021-08-15'),
(10283, 46, '2021-08-16'),
(10284, 44, '2021-08-19'),
(10285, 63, '2021-08-20'),
(10286, 63, '2021-08-21'),
(10287, 67, '2021-08-22'),
(10288, 66, '2021-08-23'),
(10289, 11, '2021-08-26'),
(10290, 15, '2021-08-27'),
(10291, 61, '2021-08-27'),
(10292, 81, '2021-08-28'),
(10293, 80, '2021-08-29'),
(10294, 65, '2021-08-30'),
(10295, 85, '2021-09-02'),
(10296, 46, '2021-09-03'),
(10297, 7, '2021-09-04'),
(10298, 37, '2021-09-05'),
(10299, 67, '2021-09-06'),
(10300, 49, '2021-09-09'),
(10301, 86, '2021-09-09'),
(10302, 76, '2021-09-10'),
(10303, 30, '2021-09-11'),
(10304, 80, '2021-09-12'),
(10306, 69, '2021-09-16'),
(10307, 48, '2021-09-17'),
(10308, 2, '2021-09-18'),
(10309, 37, '2021-09-19'),
(10310, 77, '2021-09-20'),
(10311, 18, '2021-09-20'),
(10312, 86, '2021-09-23'),
(10313, 63, '2021-09-24'),
(10314, 65, '2021-09-25'),
(10315, 38, '2021-09-26'),
(10316, 65, '2021-09-27'),
(10317, 48, '2021-09-30'),
(10318, 38, '2021-10-01'),
(10319, 80, '2021-10-02'),
(10320, 87, '2021-10-03'),
(10321, 38, '2021-10-03'),
(10322, 58, '2021-10-04'),
(10323, 39, '2021-10-07'),
(10324, 71, '2021-10-08'),
(10325, 39, '2021-10-09'),
(10326, 8, '2021-10-10'),
(10327, 24, '2021-10-11'),
(10328, 28, '2021-10-14'),
(10329, 75, '2021-10-15'),
(10330, 46, '2021-10-16'),
(10331, 9, '2021-10-16'),
(10332, 51, '2021-10-17'),
(10333, 87, '2021-10-18'),
(10334, 84, '2021-10-21'),
(10335, 37, '2021-10-22'),
(10336, 60, '2021-10-23'),
(10337, 25, '2021-10-24'),
(10338, 55, '2021-10-25'),
(10339, 51, '2021-10-28'),
(10340, 9, '2021-10-29'),
(10341, 73, '2021-10-29'),
(10342, 25, '2021-10-30'),
(10343, 44, '2021-10-31'),
(10344, 89, '2021-11-01'),
(10346, 65, '2021-11-05'),
(10347, 21, '2021-11-06'),
(10348, 86, '2021-11-07'),
(10349, 75, '2021-11-08'),
(10350, 41, '2021-11-11'),
(10351, 20, '2021-11-11'),
(10352, 28, '2021-11-12'),
(10353, 59, '2021-11-13'),
(10354, 58, '2021-11-14'),
(10355, 4, '2021-11-15'),
(10356, 86, '2021-11-18'),
(10357, 46, '2021-11-19'),
(10358, 41, '2021-11-20'),
(10359, 72, '2021-11-21'),
(10360, 7, '2021-11-22'),
(10361, 63, '2021-11-22'),
(10362, 9, '2021-11-25'),
(10363, 17, '2021-11-26'),
(10364, 19, '2021-11-26'),
(10365, 3, '2021-11-27'),
(10366, 29, '2021-11-28'),
(10367, 83, '2021-11-28'),
(10368, 20, '2021-11-29'),
(10369, 75, '2021-12-02'),
(10370, 14, '2021-12-03'),
(10371, 41, '2021-12-03'),
(10372, 62, '2021-12-04'),
(10373, 37, '2021-12-05'),
(10374, 91, '2021-12-05'),
(10375, 36, '2021-12-06'),
(10376, 51, '2021-12-09'),
(10377, 72, '2021-12-09'),
(10378, 24, '2021-12-10'),
(10379, 61, '2021-12-11'),
(10380, 37, '2021-12-12'),
(10381, 46, '2021-12-12'),
(10382, 20, '2021-12-13'),
(10383, 4, '2021-12-16'),
(10384, 5, '2021-12-16'),
(10386, 21, '2021-12-18'),
(10387, 70, '2021-12-18'),
(10388, 72, '2021-12-19'),
(10389, 10, '2021-12-20'),
(10390, 20, '2021-12-23'),
(10391, 17, '2021-12-23'),
(10392, 59, '2021-12-24'),
(10393, 71, '2021-12-25'),
(10394, 36, '2021-12-25'),
(10395, 35, '2021-12-26'),
(10396, 25, '2021-12-27'),
(10397, 60, '2021-12-27'),
(10398, 71, '2021-12-30'),
(10399, 83, '2021-12-31'),
